Word List 20 MP3 - 20
词根、词缀预习表
femin 女 feminism n. 女权主义
-ism …主义 feminism n. 女权主义
fer 带来 fertile n. 肥沃的，多产的
fin 最后 finance vt. 为…提供资金
fin 界限 finite a. 有限的
flam 燃烧 flame n. 火焰v. 燃烧
flex 弯曲 flexible a. 易弯曲的
flour 花 flourish v. 繁荣；茂盛
flu 流动 fluctuate v. (使) 起伏
form 形状 formality n. 认真遵守规范

Word List 21 MP3 - 21
词根、词缀预习表
fract 碎裂 fraction n. 小部分
-ile 易…的 fragile a. 脆弱的
-ment 表名词 fragment n. 片段
frequ 频繁 frequent a. 频繁的
-ent 表形容词 frequent a. 频繁的
fund 基础 fundamental a. 基础的
germ 芽 germ n. 微生物，细菌
fus 流 fusion n. 熔化
gen 产生 general a. 普遍的
-ous 多…的 generous a. 慷慨的

Word List 22 MP3 - 22
词根、词缀预习表
germ芽 germinate v.(使)发芽
glac 冰 glacial a. 冰期的
glob 球体 global a. 全球的
gran 颗粒 granite n. 花岗岩
graph 书写 graphic a. 文字的
-ology …学 graphology n. 笔迹学
grav 重的 gravel n. 沙砾
greg 群体 gregarious a. 群居的
hab 生活 habitat n. 栖息地
-ual 表形容词 habitual a. 惯常的

Word List 23 MP3 - 23
词根、词缀预习表
en- 使… heighten v. (使)增强
helic 螺旋 helicopter n. 直升飞机
hemi 半 hemisphere n. 半球
herb 草 herbivore n. 食草动物
her 继承人 hereditary a. 遗传性的
-age 表集体名词 heritage n. 遗产；传统
hes 黏附 hesitate vi. 犹豫
hier 神圣 hierarchy n. 等级，层次
horr 害怕 horrify vt. 使恐惧
hosp 主人 hospitality n. 好客；热情

Word List 24 MP3 -24
词根、词缀预习表
hum 地 humble a. 谦卑的
humid 潮湿的 humidity n. 湿度
id 看 ideal a. 理想的
-ity 表性质 identity n. 身份
gno 知道 ignorance n. 无知
lumin 光 illuminate vt. 照亮
lus 光 illustrate v. 阐明
imit 模仿 imitate vt. 模仿
mens 测量 immense a. 巨大的
mun 作用 immune a. 免疫的

Word List 25 MP3 -25
词根、词缀预习表
cent 唱歌 incentive n. 激励
ciner 灰 incinerate vt. 焚化
clin 倾斜 inclination n. 倾向
clud 关闭 include v. 包括
corp 身体 incorporate vt. 吸收
cred 相信 incredible a. 不可信的
lev 轻 alleviate vt. 减轻
cur 跑 incur vt. 招致
gen 产生 indigenous a. 本土的
dol 悲痛 indolent a. 懒惰的

Word List 26 MP3 - 26
词根、词缀预习表
sist 站 insist v. 坚持
spect 看 inspect vt. 检查
spir 呼吸 inspiration n. 启示
stil 掉 instil vt. 灌输
stinct 刺激 instinct n. 本能
stit 站立 institute vt. 建立
struct 建筑 instruct vt. 教导
tact 接触 intact a. 完整无缺的
tegr 触摸 integral a. 完整的
lig 选择 intelligent a. 聪明的

Word List 27 MP3 - 27
词根、词缀预习表
vent 来 inventory n. 存货
vers 转 inversion n. 颠倒
viol 违反 inviolable a. 不可侵犯的
vis 看见 invisible a. 无形的
vok 叫喊 invoke vt. 恳求
volv 卷 involve vt. 卷入
rit 擦 irritable a. 急躁的
isol 岛屿 isolate vt. 使隔离
it 走 itinerary n. 旅行路线
journ 日 journal n. 日志

Word List 28 MP3 - 28
词根、词缀预习表
lect 讲 lecture n. 演讲
leg 送 legacy n. 遗赠
len 软 lenient a. 宽容的
lev 举起 lever n. 杠杆
lexico 词 lexicographer n. 词典编纂者
lib 文字 libel vt. 诽谤
lingu 语言 linguistic a. 语言学的
liter 文字 literacy n. 有文化
loc 地点 locate vt. 位于
log 语言 logic n. 逻辑

Word List 29 MP3 - 29
词根、词缀预习表
lux 光 luxury a. 奢华的
magn 大 magnify vt. 放大
main 手 maintain vt. 维修
maj 大 major a. 主要的
vol 意念 malevolent a. 有恶意的
mand 命令 mandarin n. 官僚
mani 手 manifest a. 明显的
manu 手 manual a. 手工的
mari 海 maritime a. 海的
max 大，高 maximize vt. 最佳化

Word List 30 MP3 - 30
词根、词缀预习表
memor 记忆 memorable a. 容易记住的
ment 思想，心智 mental a. 心理的，精神的
merg 沉没 merge v. 结合
phor 带来 metaphor n. 隐喻
meteor 陨石；天气 meteorology n. 气象学
micro- 微小的 microcosm n. 微观世界
scop 看，视野 microscope n. 显微镜
migr 迁移 migrant n. 移居者
milit 打架 militant a. 好战的
mim 模仿 mime v. 模拟，模仿


Word List 31 MP3 - 31
词根、词缀预习表
mot 移动 motion n. 运动
mund 世界 mundane a. 世界的；世俗的
mut 变 mutual a. 相互的；共同的
nav 船 navigable a. 可通航的
neg 否定 negative a. 否定的，反面的
not 知道 notable a. 值得注意的
nutri 营养 nutrient n. 滋养物
ject 扔 object n. 目标；对象
lig 捆绑 obligation n. 义务
serv 维持 observe v. 遵守

Word List 32 MP3 - 32
词根、词缀预习表
struct 建造 obstruct v. 妨碍，阻止
tain 拿住 obtain v. 获得，得到
cur 跑 occur vi. 发生；存在
fens 打 offensive a. 冒犯的
opa 不透明 opaque a. 不透明的
opt 眼睛 optical a. 视力的
optim 最好 optimism n. 乐观
orb 轨道 orbit n. 轨道
ori 产生 origin n. 起源
orn 装饰 ornament n. 装饰；装饰物

Word List 33 MP3 - 33
词根、词缀预习表
ox 氧气 oxide n. 氧化物
par 并列 parallel a. 类似的，相对应的
path 病痛 pathology n. 病理学
ped 脚 pedal n. 踏板
pen 惩罚 penalize vt. 惩罚，处罚
pens 悬挂 pension n. 养老金
meter 测量 perimeter n. 周长；周边
pher 带来 peripheral a. 外围的
man 流动 permanent a. 永久的，持久的
mea 流过 permeate v. 扩散，弥漫

Word List 34 MP3 -34
词根、词缀预习表
spect 看 perspective n. 角度，方法
vas 走 pervasive a. 遍布的
plagi 斜的 plagiarism n. 剽窃，抄袭
plaus 鼓掌 plausible a. 似有道理的
pli 弯，折 pliable a. 柔韧的
pol 磨 polish v. 磨光
pos 放 positive a. 积极的
tent 伸展 potential a. 潜在的
ced 前进 precedent n. 先例；惯例
pred 掠夺 predator n. 食肉动物


Word List 35 MP3 - 35
词根、词缀预习表
gn 出生 pregnant a. 怀孕的
mis 放 premise n. 前提
par 安排 prepare v. 准备，预备
scrib 写 prescribe v. 规定
