seq,word,hzctable,strokesnum,pinyins,strokes,strokesok,explanation
3601,牝,表3丙表1000字,6画,pìn,丿 一 丨 ㇀ 丿 乚,true(a6~e6),牝〈名〉(形声。从牛，匕声。依甲骨文，匕为雌性动物的标志。本义雌性的禽兽)同本义 牝，畜母也。--《说文》利牝马之贞。--《易·坤》畜牝牛，吉。--《易·离》牝鸡之晨，惟家之索。--《书·牧誓》又如牝朝(唐人称武后当政为牝朝);牝牡(雌雄两性)泛指阴性的事物 豨谷为牝。--《大戴礼记·本命》肾者，牝藏也。--《素问·水热穴论》牝常以静胜牡。--《老子》锁孔 键，牡;闭，牝也。--《礼记》。翱牝鸡司晨牝pìn雌的鸟兽。跟'牡'相对～鸽。～牛。
3603,伛,表3丙表1000字,6画,yǔ,丿 丨 一 丿 丶 ㇄,true(a6~e6),伛 (形声。从人，区声。本义背曲) 同本义 伛，曲也。--《广雅》苦水所，多尩与伛人。--《吕氏春秋·尽数》良雌伛伏，体方就成。--《论衡·论死》伛偻提携。--宋·欧阳修《醉翁亭记》又如伛兜面孔(指面孔凹凸不平);伛伏(曲背俯伏);伛步(弯腰曲身行走);伛伸(驼背);伛背(驼背);伛伛(背曲的样子)伛 弯腰 形容鬼看见，忙伛去将他一把拿住，思量拉他上船。--《何典》一命而偻，再命而伛，三命而俯，循墙而走。--《左传》通妪(鑹??)。爱抚;抚育 伛（傴）yǔ驼背～身。～偻。
3607,伥,表3丙表1000字,6画,chāng,丿 丨 丿 一 𠄌 ㇏,true(a6~e6),伥 (形声。从人，长声。本义狂)同本义 伥，狂也。俗字作猖。--《说文》何桀纠之昌披兮。(以昌为之。)--《离骚》号为伥子。--《资治通鉴》→三省注伥，狂。迷信传说中的被老虎咬死的人变成的鬼，这种鬼引导老虎咬别的人 旧指为盗贼察情探路的人。也指助纣为虐的恶人 其为响马贼之伥无疑。--清·酉阳《女盗侠传》伥 无所适从。又称伥伥 人无法则伥伥然。--《荀子·修身》伥鬼伥（倀）chāng〈古〉迷信传说'被老虎吃了的人变成鬼，又帮助老虎伤人'为虎作～（〈喻〉帮恶人作恶事）。
3608,伧,表3丙表1000字,6画,cāng、chen,丿 丨 丿 ㇏ 𠃌 乚,true(a6~e6),伧(cang)(形声。从人，仓声。本义粗俗) 同本义 原来这子房也是个伧头。--元·尚仲贤《气英布》又如伧荒(人物鄙陋、未受教育，地域荒远、交通不便);伧头(粗俗、鄙陋之人);伧夫(粗野、鄙贱、缺乏教养的人。也作伧父);伧重(粗重而鄙野)伧(cheng)--寒伧，即寒碜丑陋;难看 丢脸，不体面 讥笑，揭人短 伧（傖）chen⒈①丑陋，难看。②丢脸。伧cāng 1.粗俗;鄙陋。 2.引申指卑劣，下贱。 3.魏晋以来，江东对楚人的蔑称。 4.晋南北朝时，南人对北人或南渡北人的蔑称。 5.泛指粗鄙之人。 6.怯懦。参见'伧头'。 7.见'伧儜'。 8.见'伧?'。
3609,伉,表3丙表1000字,6画,kàng,丿 丨 丶 一 丿 ⺄,true(a6~e6),伉〈动〉(形声。从人，亢声。本义匹敌，相当)同本义 天下莫之能伉。--《战国策·秦策一》已不能庇其伉俪。--《左传·成公十一年》。注敌也。弃其伉俪妃嫔。--《国语·周语》。注对也。可与乎比伉。--《后汉书·张衡传》。注偶也。又如伉合(匹敌相等而配合)对敌，抵挡 养及亲者，身伉其难。--《吕氏春秋·士节》又如伉礼(彼此以平等的礼节相对待。同抗礼);伉衡(势均力敌，不相上下。同抗衡)伉 高大，高尚 乃立皋门，皋门有伉。伉kàng⒈⒉强健，刚直～健。～直。⒊〈古〉通'抗'。抵御。⒋〈古〉通'亢'。高。伉gāng 1.质直;刚直。
3611,囟,表3丙表1000字,6画,xìn,丿 丨 𠃍 丿 丶 一,true(a6~e6),囟 (象形。或从肉，宰声。本义连合胎儿或新生儿颅顶盖各骨间的膜质部) 同本义 夹囟曰角。--《礼记·内则》注又如囟门口(囱门)囟门，囟脑门此即汝母，汝从囱门入。--《初刻拍案惊奇》囟（顖）xìn囟门，胎儿或婴儿头顶骨未合缝的地方。有两个一个是额～，又叫前～或顶～（顶门），出生后一至两年间封闭；另一个是枕～，有叫后～，出生后不久即封闭。
3619,舛,表3丙表1000字,6画,chuǎn,丿 ㇇ 丶 一 𠃋 丨,true(a6~e6),舛 (会意。小篆字形，是两只方向相反的脚，合起来表示相违背的意思。本义相违背，颠倒)同本义 舛，对卧也。--《说文》段注谓人与人相对而休也，相背，犹相对也。本末舛逆。--贾谊《治安策》雄见诸子，各以其知舛驰。--《汉书·扬雄传》又如舛驰(异道而驰;交互);舛令(违命);舛午(抵触;违背)交互;交错 舛 错乱 此臣所谓舛也。--《汉书·贾谊传》如舛讹(差错;错误);舛差(差误;差错);舛误(差错;错误)不幸 舛 chuǎn①差错；错乱～错。②违背。【舛驰】背道而驰。【舛误】错误；差错。舛、踳chuǎn⒈差错，错乱～谬。⒉相违背前程多～。
3621,邬,表3丙表1000字,6画,wū,丿 𠃌 ㇉ ㇀ ㇌ 丨,true(a6~e6),邬 古地名 春秋郑邑，后入周。在今河南省偃师县西南春秋晋地，在今山西省介休县东北司马弥牟为邬大夫。--《左传》邬（鄔)wū姓。
3622,饧,表3丙表1000字,6画,xíng,丿 ㇇ 𠄌 𠄎 丿 丿,true(a6~e6),饧 用麦芽或谷芽熬成的饴糖 泼火雨初晴。草色青青。傍檐垂柳卖春饧。--宋·李彭老《浪淘沙》湖鱼香胜肉，官酒重于饧。--唐·刘禹锡《历阳书事》又如饧糟(熬麦芽糖剩下的渣子);饧饼(一种糖饼);饧粥(甜粥);饧蜜(糖蜜);饧糖(麦芽糖);饧桃(甜桃)饧 糖块、面剂子等变软 形容眼色朦胧 八戒饧眼偷看，你道他怎生打扮。--《西游记》只觉口齿缠绵，眉眼愈加饧涩，忙伏侍他睡下。--《红楼梦》又如饧涩(精神涣散，眼色朦胧);饧眼(脒着眼睛，朦胧而视)饧（餳）xíng⒈麦芽或谷芽等熬成的糖。⒉糖块或面剂子等变软糖～了。面团～了。⒊精神不振，眼光朦胧两眼发～。
3628,汊,表3丙表1000字,6画,chà,丶 丶 ㇀ ㇇ ㇏ 丶,true(a6~e6),汊 水流的分支，也指河流的分岔处 汊港中间是一条小汊港汊流汊chà河流分岔处河～。港～。
